Number Of Executions, Total Milliseconds,  Milliseconds per execution, Type
     1,     81,    81.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, EhCache2Metrics_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Hibernate OGM (embedded)).as(default)"
     1,    135,   135.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.76.html)"
     1,     35,    35.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CumulativeCounter_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Derby Driver).as(default)"
     1,    132,   132.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, LoggingMeterRegistry_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Ignite (embedded)).as(default)"
     1,    139,   139.00, sortDependencyGroupArchivesByPathAscending
     1,    145,   145.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.139.html)"
     1,     45,    45.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MongoMetricsCommandListener_java.html)"
     1,    132,   132.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.74.html)"
     1,    123,   123.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.89.html)"
     1,     59,    59.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.189.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Jamon (embedded)).as(default)"
  5390,  10025,     1.86, "TypeReferenceService.createTypeReference(fileModel,location,lineNumber,columnNumber,length,source)"
     1,     94,    94.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, micrometer_core_properties.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Istio (embedded)).as(default)"
     1,    189,   189.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, HibernateMetrics_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Zbus Client (embedded)).as(default)"
     2,   1260,   630.00, sortTechUsageStats
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Orion Web XML).as(default)"
     1,     66,    66.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, JettyClientTagsProvider_java.html)"
     1,     99,    99.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, InstrumentedQueuedThreadPool_java.html)"
     1,     43,    43.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, NoopFunctionTimer_java.html)"
     1,    132,   132.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.61.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,OWASP CSRF Guard (embedded)).as(default)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.50.html)"
     1,     37,    37.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.82.html)"
     1,   3907,  3907.00, "FreeMarkerIterationOperation.render(/reports/templates/migration-issues.ftl, migration_issues.html)"
     1,    168,   168.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, Validated_java.html)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JaxRSWebServiceModel).as(default)
     1,     59,    59.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.134.html)"
     1,     87,    87.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, LoggingRegistryConfig_java.html)"
     1,     67,    67.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.15.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Monolog (embedded)).as(default)"
     1,      0,     0.00, Query.fromType(org.jboss.windup.graph.model.DuplicateArchiveModel).as(default)
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Integration (embedded)).as(default)"
     1,     33,    33.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, VisitFieldsDto_java.html)"
     1, 205097, 205097.00, FernflowerDecompilationOperation.perform
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Keyczar (embedded)).as(default)"
     1,    113,   113.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.147.html)"
     1,    101,   101.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DefaultHttpServletRequestTagsProvider_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Tornado Inject (embedded)).as(default)"
     1,     35,    35.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, NoopTimeGauge_java.html)"
     1,    108,   108.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.184.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Cactus (embedded)).as(default)"
  6113,  24807,     4.06, ClassFilePreDecompilationScan.perform()
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,KumuluzEE JTA (embedded)).as(default)"
     2,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JspSourceFileModel).as(default)
     1,      0,     0.00, Query.fromType(org.jboss.windup.rules.apps.javaee.model.JsfSourceFileModel).as(default)
     1,    103,   103.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.109.html)"
     1,     46,    46.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, OnCompletionAsyncListener_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,SwitchYard (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,EJB XML).as(default)"
     1,     87,    87.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DropwizardFunctionTimer_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,LevelDB Client).as(default)"
     1,    128,   128.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.155.html)"
     1,     80,    80.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, DistributionStatisticConfig_java.html)"
 28903,   4229,     0.15, GraphService.findAllByProperty(filePath)
     1,      3,     3.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Neo4j (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Security (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Logstash (embedded)).as(default)"
     1,    187,   187.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.95.html)"
     1,     58,    58.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CumulativeHistogramLongTaskTimer_java.html)"
     1,     89,    89.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, NoopLongTaskTimer_java.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Elasticsearch (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Servlet).as(default)"
     1,     32,    32.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, messages_properties.html)"
     1,     26,    26.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.10.html)"
     1,     23,    23.00, "FreeMarkerIterationOperation.render(/reports/templates/dependency_graph.ftl, dependency_graph_report.html)"
     1,     57,    57.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_xml.172.html)"
     1,     60,    60.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, UserDto_java.html)"
     1,     52,    52.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, JettySslHandshakeMetrics_java.html)"
     1,      0,     0.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,JBossMQ Client (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Spring Data (embedded)).as(default)"
     1,    125,   125.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, MANIFEST_MF.117.html)"
     1,    103,   103.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.36.html)"
     1,     65,    65.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, CaffeineCacheMetrics_java.html)"
     1,     98,    98.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, pom_properties.66.html)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Oracle DB Driver).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Velocity (embedded)).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,WebSphere WS Extension).as(default)"
     1,      1,     1.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Narayana Arjuna (embedded)).as(default)"
     1,     30,    30.00, "FreeMarkerIterationOperation.render(/reports/templates/source.ftl, application_mysql_properties.html)"
     1,      2,     2.00, "Query.fromType(org.jboss.windup.reporting.model.TechnologyTagModel).gremlin().has(name,EQUALS,Apache Axis (embedded)).as(default)"
